#	The 256-byte basic parameter pack BODY, field by field.
#	Source: crates/e120-rcvbp/src/spec/basic_pack.rs (transcribed from the vendor's
#	GetBasicParam @ libCLTDevice 0x1dfb50 + ResetChipType @ 0x1e5130), cross-checked
#	byte-for-byte against card-dumps/primary-region.bin at flash 0x70000 and against
#	build/p25-128x64-sm16269s-basic-pack.bin.
#
#	IMPORTANT OFFSET CONVENTION: "body" offsets below are offsets into the 256-byte
#	body. On the wire and in docs/record-0x01-fields.md the "pack" offset = body + 4
#	(the 4-byte pack header [0x05,0x00,0x00,sub]). In the boot image at flash 0x70000
#	the body starts at image offset 0x0000, i.e. image offset == body offset.
#
#	"rec" = byte offset into the 764-byte record 0x01 payload.
#	endian: BE = big-endian on the wire even though the record stores LE.
#	Bytes not listed are never written by GetBasicParam and stay zero.
#
body_off	pack_off	size	endian	field	source	confidence
0x00	0x04	1	-	marker 0xA8 (pack identity byte)	literal	HIGH
0x01	0x05	3	-	pack head triple (0xFF 0xFF 0xFF in practice)	rec +0x028	HIGH
0x04	0x08	2	-	line_dir>=2: [module width, module height/2]; line_dir<2: [module height/2, module width]	spec module geometry + rec +0x03C	HIGH
0x06	0x0A	1	-	modules chained along the data-line direction (GetModuleCountInLineDir)	derived: screen extent / module extent	HIGH
0x07	0x0B	1	-	scan denominator, literal (0x10 = 1/16)	rec +0x020	HIGH
0x08	0x0C	1	-	grey depth in bits (0x0E = 14)	rec +0x023	HIGH
0x09	0x0D	2	BE	serial (shift) clock frequency setting	rec +0x021	HIGH
0x0B	0x0F	2	BE	OneScanLen = moduleW * storedH / scan (256 here)	derived @ 0x138e90	HIGH
0x0D	0x11	2	BE	CardScanLen = OneScanLen * modulesInLineDir (256 for one module; 512 factory)	derived @ 0x145420	HIGH
0x0F	0x13	1	-	head code: rec+0x008 low nibble mapped {0->2,1->3,2->0,3->1,else 0}, OR module-dim high bits into bits 4-5 and 6-7	rec +0x008 + module width>>8	HIGH
0x10	0x14	1	-	colour byte = (swap<<6) | (src2<<4) | (src1<<2) | src0	rec +0x02B, +0x02C..0x02E	HIGH
0x14	0x18	2	BE	luminance / light-increase scalar (CalMaxLightInc)	rec +0x024	HIGH
0x16	0x1A	2	BE	luminance level (188 here)	rec +0x026	HIGH
0x19	0x1D	1	-	unresolved meaning, provenance known	rec +0x02F	MEDIUM
0x1A	0x1E	1	-	constant 0x80 written by the image writer	literal	HIGH
0x1B	0x1F	1	-	driver-chip id if < 0x100, else the escape literal 0xFE	rec +0x036/+0x204 via ResetChipType	HIGH
0x1C	0x20	1	-	serial type	rec +0x037	HIGH
0x1D	0x21	1	-	line direction (0/1 vertical, 2/3 horizontal)	rec +0x03C	HIGH
0x1E	0x22	1	-	packed flags	rec +0x0E6	MEDIUM
0x1F	0x23	2	BE	void-point count	rec +0x003	HIGH
0x22	0x26	1	-	scan method (low nibble)	rec +0x03D & 0x0F	HIGH
0x23	0x27	1	-	split style / split segment code	rec +0x03E	HIGH
0x25	0x29	1	-	modules in line dir per split segment	derived	HIGH
0x26	0x2A	2	-	[rec+0x043, rec+0x044 | (rec+0x04E & 1)] = data-group/output code with the 32-group flag	rec +0x043, +0x044, +0x04E	HIGH
0x28	0x2C	2	LE	grey compensation	rec +0x045	HIGH
0x2A	0x2E	1	-	module count = (screenW/moduleW) * (screenH/moduleH)	derived	HIGH
0x2C	0x30	2	BE	serial clock / 2	rec +0x049	HIGH
0x2E	0x32	2	BE	serial clock (duplicate)	rec +0x04B	HIGH
0x30	0x34	4	-	current gains R, G, B, virtual-R (0-63 each)	rec +0x032..0x035	HIGH
0x37	0x3B	1	-	8 ns OE enable info	rec +0x050	HIGH
0x39	0x3D	2	BE	CardScanLen again (per split segment)	derived	HIGH
0x3B	0x3F	2	BE	screen extent along the data-line direction (GetMaxInLineDir)	derived from screen size + line_dir	HIGH
0x42	0x46	2	-	module-position grid unit [w, h] (0x10, 0x10)	rec +0x057, +0x058	HIGH
0x46	0x4A	1	-	GetModuleInputCount = max(1, 16 / module dim along line dir)	derived	HIGH
0x47	0x4B	1	-	hub type	rec +0x0B3	HIGH
0x48	0x4C	8	BE	luminance level split by current percents, emitted as R, B, rest, G (u16 BE each)	rec +0x026 + rec +0x0B4/B8/BC	HIGH
0x50	0x54	16	-	swap block 1	rec +0x07A..0x089	HIGH
0x60	0x64	16	-	swap block 0 (data/RGB lane swap table)	rec +0x05A..0x069	HIGH
0x70	0x74	16	-	chip-custom block; +0x70 bit7 = use self GCK, bits0-6 + next byte = chip reset serial clock	rec +0x06A..0x079	HIGH
0x80	0x84	4	-	unresolved meaning, provenance known	rec +0x038..0x03B	MEDIUM
0x84	0x88	4	-	unresolved meaning, provenance known	rec +0x0DC..0x0DF	MEDIUM
0x88	0x8C	2	BE	MaxWidth (whole screen this card drives)	rec +0x0C0	HIGH
0x8A	0x8E	2	BE	MaxHeight	rec +0x0C2	HIGH
0x8C	0x90	2	-	[constant 0x01, rec+0x0E8 (GetLS9736ICNum / IsHasMBI5988)]	literal + rec +0x0E8	HIGH
0x8E	0x92	2	BE	module stored height * 32	derived	HIGH
0x90	0x94	1	-	special-module setting, written only when rec+0x01A bit6 is set, else 0	rec +0x052 gated by flag1 bit6	HIGH
0x91	0x95	20	-	SChipControl block (chip-library constant; carries the GCLK-count fields)	rec +0x0C4..0x0D7	HIGH
0xA5	0xA9	1	-	unresolved meaning, provenance known	rec +0x009	MEDIUM
0xB0	0xB4	32	-	swap blocks 2 and 3	rec +0x08A..0x0A9	HIGH
0xD0	0xD4	4	-	chip-custom-EX (bytes permuted by ExchangeThirdReg)	rec +0x0E0..0x0E3	HIGH
0xD4	0xD8	2	-	[rec+0x0E7, rec+0x179]	rec	MEDIUM
0xD7	0xDB	1	-	SetIsSL9739EnabledEx	rec +0x191	HIGH
0xD8	0xDC	6	-	three u16 fields (0x4000 each in our config)	rec +0x0EA..0x0EF	MEDIUM
0xE3	0xE7	2	BE	MaxPsc "full" = CardScanLen	derived	HIGH
0xE5	0xE9	2	BE	MaxPsc "max" = CardScanLen	derived	HIGH
