chipid	secondary	chip_control	tails(1,2,3,4,5,6)	gclkA	gclkB	regs	addrs	file
0x014C	0x0000	00 0e 01 05 06 01 03 00 00 00 00 97 00 97 00 08 02 00 0a 02	14,1,5,6,1,3	151	151	33	0x02..0xf0	P2.5-32S-128X64-SM16269S-256X384I.rcvbp
0x0085	0x00F1	00 0e 05 04 06 01 03 00 00 00 00 8a 00 8a 00 08 00 00 0a 02	14,5,4,6,1,3	138	138	0	-	donor-P2.5-320x160-2153-consensus.rcvbp
0x00BB	0x00BB	00 0e 01 05 06 01 03 00 00 00 00 8a 00 8a 00 08 02 00 0a 02	14,1,5,6,1,3	138	138	33	0x00..0x22	P1.25-256x128-64S-16389+2018-V8.1.rcvbp
0x00C2	0x0000	00 0e 01 05 06 01 03 00 00 00 00 8a 00 8a 00 08 02 00 0a 02	14,1,5,6,1,3	138	138	46	0x00..0xf5	P1.25-256x128-64S-2065+2018-V8.1.rcvbp
0x00C2	0x00C2	00 0e 01 05 06 01 03 00 00 00 00 8a 00 8a 00 08 02 00 0a 02	14,1,5,6,1,3	138	138	45	0x02..0xf5	indoorP1.53-208104-52S-2065+2018-V3.X.rcvbp
0x00BB	0x00BB	00 0e 01 05 06 01 03 00 00 00 00 8a 00 8a 00 08 00 00 0a 02	14,1,5,6,1,3	138	138	32	0x02..0x22	indoorP1.53-208x104-52S-16389+2018-V3.X.rcvbp
0x00BB	0x00BB	00 0e 01 05 06 01 03 00 00 00 00 21 00 21 00 08 00 00 0a 02	14,1,5,6,1,3	33	33	32	0x02..0x22	indoorP1.53-208x104-52S-16389+5958-V3.X.rcvbp
0x00CF	0x0000	00 0e 05 04 06 01 03 00 00 00 00 4a 00 4a 00 08 02 00 0a 02	14,5,4,6,1,3	74	74	0	-	indoorP1.667-192x96-48S-2163+2018&5566&5368-V6.0&V7.0.rcvbp
0x0098	0x0000	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	0,0,0,0,0,0	0	0	0	-	indoorP1.667-192x96-48S-9930+2018-H.rcvbp
0x009E	0x009E	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	0,0,0,0,0,0	0	0	0	-	indoorP1.667-192x96-48S-9935+9736-V6.0&V7.0.rcvbp
0x00CF	0x00CF	00 0e 05 04 06 01 03 00 00 00 00 4a 00 4a 00 08 02 00 0a 02	14,5,4,6,1,3	74	74	0	-	P1.86(320x160)-2163+5566&5368-V5.0.rcvbp
0x00CF	0x00CF	00 0e 05 04 06 01 03 00 00 00 00 4a 00 4a 00 08 02 00 0a 02	14,5,4,6,1,3	74	74	0	-	P1.86(320x160)-6363+5566&5368-V5.0.rcvbp
0x0098	0x0098	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	0,0,0,0,0,0	0	0	0	-	P1.86-172x86-43S-9930+2018&5368-2880-A.rcvbp
