# primary-after-restore.bin: 55 of 7562 frames fail the frame CRC
frame	start	end	stored_crc	computed_crc	dummy
6750	0x07EFC0	0x07F00C	0xFFFF	0x1A48	0xFF
6751	0x07F00D	0x07F059	0xFFFF	0xAA2B	0xFF
6752	0x07F05A	0x07F0A6	0xFFFF	0xAA2B	0xFF
6753	0x07F0A7	0x07F0F3	0xFFFF	0xAA2B	0xFF
6754	0x07F0F4	0x07F140	0xFFFF	0xAA2B	0xFF
6755	0x07F141	0x07F18D	0xFFFF	0xAA2B	0xFF
6756	0x07F18E	0x07F1DA	0xFFFF	0xAA2B	0xFF
6757	0x07F1DB	0x07F227	0xFFFF	0xAA2B	0xFF
6758	0x07F228	0x07F274	0xFFFF	0xAA2B	0xFF
6759	0x07F275	0x07F2C1	0xFFFF	0xAA2B	0xFF
6760	0x07F2C2	0x07F30E	0xFFFF	0xAA2B	0xFF
6761	0x07F30F	0x07F35B	0xFFFF	0xAA2B	0xFF
6762	0x07F35C	0x07F3A8	0xFFFF	0xAA2B	0xFF
6763	0x07F3A9	0x07F3F5	0xFFFF	0xAA2B	0xFF
6764	0x07F3F6	0x07F442	0xFFFF	0xAA2B	0xFF
6765	0x07F443	0x07F48F	0xFFFF	0xAA2B	0xFF
6766	0x07F490	0x07F4DC	0xFFFF	0xAA2B	0xFF
6767	0x07F4DD	0x07F529	0xFFFF	0xAA2B	0xFF
6768	0x07F52A	0x07F576	0xFFFF	0xAA2B	0xFF
6769	0x07F577	0x07F5C3	0xFFFF	0xAA2B	0xFF
6770	0x07F5C4	0x07F610	0xFFFF	0xAA2B	0xFF
6771	0x07F611	0x07F65D	0xFFFF	0xAA2B	0xFF
6772	0x07F65E	0x07F6AA	0xFFFF	0xAA2B	0xFF
6773	0x07F6AB	0x07F6F7	0xFFFF	0xAA2B	0xFF
6774	0x07F6F8	0x07F744	0xFFFF	0xAA2B	0xFF
6775	0x07F745	0x07F791	0xFFFF	0xAA2B	0xFF
6776	0x07F792	0x07F7DE	0xFFFF	0xAA2B	0xFF
6777	0x07F7DF	0x07F82B	0xFFFF	0xAA2B	0xFF
6778	0x07F82C	0x07F878	0xFFFF	0xAA2B	0xFF
6779	0x07F879	0x07F8C5	0xFFFF	0xAA2B	0xFF
6780	0x07F8C6	0x07F912	0xFFFF	0xAA2B	0xFF
6781	0x07F913	0x07F95F	0xFFFF	0xAA2B	0xFF
6782	0x07F960	0x07F9AC	0xFFFF	0xAA2B	0xFF
6783	0x07F9AD	0x07F9F9	0xFFFF	0xAA2B	0xFF
6784	0x07F9FA	0x07FA46	0xFFFF	0xAA2B	0xFF
6785	0x07FA47	0x07FA93	0xFFFF	0xAA2B	0xFF
6786	0x07FA94	0x07FAE0	0xFFFF	0xAA2B	0xFF
6787	0x07FAE1	0x07FB2D	0xFFFF	0xAA2B	0xFF
6788	0x07FB2E	0x07FB7A	0xFFFF	0xAA2B	0xFF
6789	0x07FB7B	0x07FBC7	0xFFFF	0xAA2B	0xFF
6790	0x07FBC8	0x07FC14	0xFFFF	0xAA2B	0xFF
6791	0x07FC15	0x07FC61	0xFFFF	0xAA2B	0xFF
6792	0x07FC62	0x07FCAE	0xFFFF	0xAA2B	0xFF
6793	0x07FCAF	0x07FCFB	0xFFFF	0xAA2B	0xFF
6794	0x07FCFC	0x07FD48	0xFFFF	0xAA2B	0xFF
6795	0x07FD49	0x07FD95	0xFFFF	0xAA2B	0xFF
6796	0x07FD96	0x07FDE2	0xFFFF	0xAA2B	0xFF
6797	0x07FDE3	0x07FE2F	0xFFFF	0xAA2B	0xFF
6798	0x07FE30	0x07FE7C	0xFFFF	0xAA2B	0xFF
6799	0x07FE7D	0x07FEC9	0xFFFF	0xAA2B	0xFF
6800	0x07FECA	0x07FF16	0xFFFF	0xAA2B	0xFF
6801	0x07FF17	0x07FF63	0xFFFF	0xAA2B	0xFF
6802	0x07FF64	0x07FFB0	0xFFFF	0xAA2B	0xFF
6803	0x07FFB1	0x07FFFD	0xFFFF	0xAA2B	0xFF
6804	0x07FFFE	0x08004A	0x06DB	0xC801	0xFF
