# primary-region.bin: 4113 of 7562 frames fail the frame CRC
frame	start	end	stored_crc	computed_crc	dummy
2548	0x02FFDE	0x03002A	0xFFFF	0x8900	0xFF
2549	0x03002B	0x030077	0xFFFF	0xE51A	0x00
2550	0x030078	0x0300C4	0xFF00	0x1A8A	0xFF
2551	0x0300C5	0x030111	0x00FF	0x085D	0xFF
2552	0x030112	0x03015E	0xFFFF	0x5DE6	0xFF
2553	0x03015F	0x0301AB	0xFFFF	0xE51A	0x00
2554	0x0301AC	0x0301F8	0xFF00	0x1A8A	0xFF
2555	0x0301F9	0x030245	0x00FF	0x085D	0xFF
2556	0x030246	0x030292	0xFFFF	0x5DE6	0xFF
2557	0x030293	0x0302DF	0xFFFF	0xE51A	0x00
2558	0x0302E0	0x03032C	0xFF00	0x1A8A	0xFF
2559	0x03032D	0x030379	0x00FF	0x085D	0xFF
2560	0x03037A	0x0303C6	0xFFFF	0x5DE6	0xFF
2561	0x0303C7	0x030413	0xFFFF	0xE51A	0x00
2562	0x030414	0x030460	0xFF00	0x1A8A	0xFF
2563	0x030461	0x0304AD	0x00FF	0x085D	0xFF
2564	0x0304AE	0x0304FA	0xFFFF	0x5DE6	0xFF
2565	0x0304FB	0x030547	0xFFFF	0xE51A	0x00
2566	0x030548	0x030594	0xFF00	0x1A8A	0xFF
2567	0x030595	0x0305E1	0x00FF	0x085D	0xFF
2568	0x0305E2	0x03062E	0xFFFF	0x5DE6	0xFF
2569	0x03062F	0x03067B	0xFFFF	0xE51A	0x00
2570	0x03067C	0x0306C8	0xFF00	0x1A8A	0xFF
2571	0x0306C9	0x030715	0x00FF	0x085D	0xFF
2572	0x030716	0x030762	0xFFFF	0x5DE6	0xFF
2573	0x030763	0x0307AF	0xFFFF	0xE51A	0x00
2574	0x0307B0	0x0307FC	0xFF00	0x1A8A	0xFF
2575	0x0307FD	0x030849	0x00FF	0x085D	0xFF
2576	0x03084A	0x030896	0xFFFF	0x5DE6	0xFF
2577	0x030897	0x0308E3	0xFFFF	0xE51A	0x00
2578	0x0308E4	0x030930	0xFF00	0x1A8A	0xFF
2579	0x030931	0x03097D	0x00FF	0x085D	0xFF
2580	0x03097E	0x0309CA	0xFFFF	0x5DE6	0xFF
2581	0x0309CB	0x030A17	0xFFFF	0xE51A	0x00
2582	0x030A18	0x030A64	0xFF00	0x1A8A	0xFF
2583	0x030A65	0x030AB1	0x00FF	0x085D	0xFF
2584	0x030AB2	0x030AFE	0xFFFF	0x5DE6	0xFF
2585	0x030AFF	0x030B4B	0xFFFF	0xE51A	0x00
2586	0x030B4C	0x030B98	0xFF00	0x1A8A	0xFF
2587	0x030B99	0x030BE5	0x00FF	0x085D	0xFF
2588	0x030BE6	0x030C32	0xFFFF	0x5DE6	0xFF
2589	0x030C33	0x030C7F	0xFFFF	0xE51A	0x00
2590	0x030C80	0x030CCC	0xFF00	0x1A8A	0xFF
2591	0x030CCD	0x030D19	0x00FF	0x085D	0xFF
2592	0x030D1A	0x030D66	0xFFFF	0x5DE6	0xFF
2593	0x030D67	0x030DB3	0xFFFF	0xE51A	0x00
2594	0x030DB4	0x030E00	0xFF00	0x1A8A	0xFF
2595	0x030E01	0x030E4D	0x00FF	0x085D	0xFF
2596	0x030E4E	0x030E9A	0xFFFF	0x5DE6	0xFF
2597	0x030E9B	0x030EE7	0xFFFF	0xE51A	0x00
2598	0x030EE8	0x030F34	0xFF00	0x1A8A	0xFF
2599	0x030F35	0x030F81	0x00FF	0x085D	0xFF
2600	0x030F82	0x030FCE	0xFFFF	0x5DE6	0xFF
2601	0x030FCF	0x03101B	0xFFFF	0xE51A	0x00
2602	0x03101C	0x031068	0xFF00	0x1A8A	0xFF
2603	0x031069	0x0310B5	0x00FF	0x085D	0xFF
2604	0x0310B6	0x031102	0xFFFF	0x5DE6	0xFF
2605	0x031103	0x03114F	0xFFFF	0xE51A	0x00
2606	0x031150	0x03119C	0xFF00	0x1A8A	0xFF
2607	0x03119D	0x0311E9	0x00FF	0x085D	0xFF
2608	0x0311EA	0x031236	0xFFFF	0x5DE6	0xFF
2609	0x031237	0x031283	0xFFFF	0xE51A	0x00
2610	0x031284	0x0312D0	0xFF00	0x1A8A	0xFF
2611	0x0312D1	0x03131D	0x00FF	0x085D	0xFF
2612	0x03131E	0x03136A	0xFFFF	0x5DE6	0xFF
2613	0x03136B	0x0313B7	0xFFFF	0xE51A	0x00
2614	0x0313B8	0x031404	0xFF00	0x1A8A	0xFF
2615	0x031405	0x031451	0x00FF	0x085D	0xFF
2616	0x031452	0x03149E	0xFFFF	0x5DE6	0xFF
2617	0x03149F	0x0314EB	0xFFFF	0xE51A	0x00
2618	0x0314EC	0x031538	0xFF00	0x1A8A	0xFF
2619	0x031539	0x031585	0x00FF	0x085D	0xFF
2620	0x031586	0x0315D2	0xFFFF	0x5DE6	0xFF
2621	0x0315D3	0x03161F	0xFFFF	0xE51A	0x00
2622	0x031620	0x03166C	0xFF00	0x1A8A	0xFF
2623	0x03166D	0x0316B9	0x00FF	0x085D	0xFF
2624	0x0316BA	0x031706	0xFFFF	0x5DE6	0xFF
2625	0x031707	0x031753	0xFFFF	0xE51A	0x00
2626	0x031754	0x0317A0	0xFF00	0x1A8A	0xFF
2627	0x0317A1	0x0317ED	0x00FF	0x085D	0xFF
2628	0x0317EE	0x03183A	0xFFFF	0x5DE6	0xFF
2629	0x03183B	0x031887	0xFFFF	0xE51A	0x00
2630	0x031888	0x0318D4	0xFF00	0x1A8A	0xFF
2631	0x0318D5	0x031921	0x00FF	0x085D	0xFF
2632	0x031922	0x03196E	0xFFFF	0x5DE6	0xFF
2633	0x03196F	0x0319BB	0xFFFF	0xE51A	0x00
2634	0x0319BC	0x031A08	0xFF00	0x1A8A	0xFF
2635	0x031A09	0x031A55	0x00FF	0x085D	0xFF
2636	0x031A56	0x031AA2	0xFFFF	0x5DE6	0xFF
2637	0x031AA3	0x031AEF	0xFFFF	0xE51A	0x00
2638	0x031AF0	0x031B3C	0xFF00	0x1A8A	0xFF
2639	0x031B3D	0x031B89	0x00FF	0x085D	0xFF
2640	0x031B8A	0x031BD6	0xFFFF	0x5DE6	0xFF
2641	0x031BD7	0x031C23	0xFFFF	0xE51A	0x00
2642	0x031C24	0x031C70	0xFF00	0x1A8A	0xFF
2643	0x031C71	0x031CBD	0x00FF	0x085D	0xFF
2644	0x031CBE	0x031D0A	0xFFFF	0x5DE6	0xFF
2645	0x031D0B	0x031D57	0xFFFF	0xE51A	0x00
2646	0x031D58	0x031DA4	0xFF00	0x1A8A	0xFF
2647	0x031DA5	0x031DF1	0x00FF	0x085D	0xFF
2648	0x031DF2	0x031E3E	0xFFFF	0x5DE6	0xFF
2649	0x031E3F	0x031E8B	0xFFFF	0xE51A	0x00
2650	0x031E8C	0x031ED8	0xFF00	0x1A8A	0xFF
2651	0x031ED9	0x031F25	0x00FF	0x085D	0xFF
2652	0x031F26	0x031F72	0xFFFF	0x5DE6	0xFF
2653	0x031F73	0x031FBF	0xFFFF	0xE51A	0x00
2654	0x031FC0	0x03200C	0xFF00	0x1A8A	0xFF
2655	0x03200D	0x032059	0x00FF	0x085D	0xFF
2656	0x03205A	0x0320A6	0xFFFF	0x5DE6	0xFF
2657	0x0320A7	0x0320F3	0xFFFF	0xE51A	0x00
2658	0x0320F4	0x032140	0xFF00	0x1A8A	0xFF
2659	0x032141	0x03218D	0x00FF	0x085D	0xFF
2660	0x03218E	0x0321DA	0xFFFF	0x5DE6	0xFF
2661	0x0321DB	0x032227	0xFFFF	0xE51A	0x00
2662	0x032228	0x032274	0xFF00	0x1A8A	0xFF
2663	0x032275	0x0322C1	0x00FF	0x085D	0xFF
2664	0x0322C2	0x03230E	0xFFFF	0x5DE6	0xFF
