PIN	BANK	ROW	COL	PIO	TILE	FUNC	DQS	BASETYPE	DRIVE	PULL	SLEW	HYST	CLAMP	ODRAIN	IOLMODE	IOLCFG	OUT	ODDR1	TRI	IN	RX0	RX1	CLKROOT	OROOT	TROOT
A10	1	0	42	B	PIOT0			-									0	0	0	1	0	0			
A11	1	0	53	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0300@53,1	F5@13,8	V02S0101@53,1
A12	1	0	53	B	PIOT0			-									0	0	0	1	0	0			
A13	1	0	65	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0300@65,1	F4@23,7	V02S0101@65,1
A14	1	0	65	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0300@66,1	V02S0501@66,1	V02S0101@65,1
A15	1	0	67	B	PIOT0			-									0	0	0	0	0	0			
A2	0	0	4	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@4,1	F4@21,9	Q2_SLICE@25,2
A3	0	0	6	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@6,1	F4@20,7	Q2_SLICE@25,2
A4	0	0	6	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0200@7,1	F5@17,2	Q2_SLICE@25,2
A5	0	0	18	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0200@18,1	F6@19,2	Q2_SLICE@25,2
A6	0	0	18	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0200@19,1	V02S0501@19,1	
A7	0	0	29	A	PIOT0	PCLKT0_0		-					OFF				0	0	0	0	0	0			
A8	0	0	29	B	PIOT0	PCLKC0_0		-									1	0	0	0	0	0	G_HPBX0200@30,1	F3@25,2	
A9	1	0	42	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0300@42,1	V06S0003@30,1	
B1	7	2	0	A	PICL0		LDQ8	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5@70,14	
B10	1	0	44	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0300@44,1	?-1@-1,-1	
B11	1	0	49	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0300@49,1	F6@21,8	Q2_SLICE@25,2
B12	1	0	56	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0300@56,1	V02S0701@56,1	V02S0101@56,1
B13	1	0	60	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0300@60,1	V02S0501@60,1	Q2_SLICE@25,2
B14	1	0	67	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0300@67,1	V02S0501@67,1	V02S0101@65,1
B15	2	2	72	B	PICR0	S0_IN	RDQ8	OUTPUT_SSTL18_II									1	0	0	0	0	0		F1@65,3	
B16	2	2	72	A	PICR0		RDQ8	OUTPUT_SSTL18_II									1	0	0	0	0	0		F5@70,5	
