PIN	BANK	ROW	COL	PIO	TILE	FUNC	DQS	BASETYPE	DRIVE	PULL	SLEW	HYST	CLAMP	ODRAIN	IOLMODE	IOLCFG	OUT	ODDR1	TRI	IN	RX0	RX1	CLKROOT	OROOT	TROOT
A10	1	0	42	B	PIOT0			-									0	0	0	1	0	0			
A11	1	0	53	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@53,1	F4@20,20	V02S0401@53,1
A12	1	0	53	B	PIOT0			-									0	0	0	1	0	0			
A13	1	0	65	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@65,1	V02S0701@65,1	V02S0301@65,1
A14	1	0	65	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@66,1	F6@22,9	V06S0003@26,1
A15	1	0	67	B	PIOT0			-									0	0	0	0	0	0			
A2	0	0	4	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@4,1	V02S0701@4,1	Q0_SLICE@23,16
A3	0	0	6	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@6,1	V06S0003@6,0	Q0_SLICE@23,16
A4	0	0	6	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@7,1	F4@20,18	Q0_SLICE@23,16
A5	0	0	18	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@18,1	F6@20,18	Q0_SLICE@23,16
A6	0	0	18	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@19,1	V06N0003@1,8	
A7	0	0	29	A	PIOT0	PCLKT0_0		-					OFF				0	0	0	0	0	0			
A8	0	0	29	B	PIOT0	PCLKC0_0		-									1	0	0	0	0	0	G_HPBX0000@30,1	F6@29,10	
A9	1	0	42	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@42,1	F7@27,17	
B1	7	2	0	A	PICL0		LDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,2	F5C_SLICE@44,29	
B10	1	0	44	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@44,1	V02S0701@44,1	
B11	1	0	49	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@49,1	V02S0101@49,1	V06S0003@26,1
B12	1	0	56	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@56,1	F0@20,20	V02S0401@56,1
B13	1	0	60	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@60,1	V02S0501@60,1	V06S0003@26,1
B14	1	0	67	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@67,1	V06S0203@28,1	V06S0003@26,1
B15	2	2	72	B	PICR0	S0_IN	RDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,2	H02W0301@71,2	
B16	2	2	72	A	PICR0		RDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEMUX=CE;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,2	H02W0701@71,2	
B2	7	2	0	B	PICL0		LDQ8	OUTPUT_SSTL18_II							IDDRXN	CEIMUX=1;CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED	1	0	1	0	0	0	G_HPBX0000@1,2	F2@20,20	H02E0301@1,2
B3	0	0	4	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@5,1	F0@24,15	Q0_SLICE@23,16
B4	0	0	11	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@12,1	V06S0203@13,1	Q0_SLICE@23,16
B5	0	0	15	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@16,1	V02S0101@16,1	
B6	0	0	22	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@23,1	F1@25,9	
B7	0	0	27	B	PIOT0	PCLKC0_1		-									1	0	0	0	0	0	G_HPBX0000@28,1	F4@27,8	
B8	1	0	35	B	PIOT0	PCLKC1_0		-									1	0	0	0	0	0	G_HPBX0000@36,1	V02S0701@36,1	
B9	1	0	38	A	PIOT0	GR_PCLK1_0		OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@38,1	F1@29,16	
C1	7	5	0	A	PICL0		LDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,5	F5@46,32	
C10	1	0	44	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@45,1	V06N0003@1,8	
C11	1	0	49	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@50,1	V02S0501@50,1	V02S0401@50,1
C12	1	0	56	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@57,1	F4@24,20	V02S0401@56,1
C13	1	0	60	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@61,1	F6@21,19	V06S0003@26,1
C14	2	2	72	C	PICR0		RDQ8	-									1	0	0	0	0	0	G_HPBX0000@71,4	H02W0501@71,4	
C15	2	5	72	B	PICR0		RDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,5	F5@44,30	
C16	2	5	72	A	PICR0		RDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,5	H06W0303@72,5	
C2	7	5	0	B	PICL0		LDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEMUX=CE;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,5	F5D_SLICE@43,31	
C3	7	2	0	C	PICL0		LDQ8	-									1	0	1	0	0	0	G_HPBX0000@1,4	H02E0701@1,4	H02E0301@1,2
C4	0	0	11	A	PIOT0			OUTPUT_SSTL15_II	4	NONE			ON				1	0	0	0	0	0	G_HPBX0000@11,1	V02S0701@11,1	
C5	0	0	15	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@15,1	F0@24,20	Q0_SLICE@23,16
C6	0	0	22	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@22,1	F6@21,20	Q0_SLICE@23,16
C7	0	0	27	A	PIOT0	PCLKT0_1		OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@27,1	V06N0003@1,8	
C8	1	0	35	A	PIOT0	PCLKT1_0		OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0		G_HPBX0200@35,1	
C9	1	0	38	B	PIOT0	GR_PCLK1_1		-									1	0	0	0	0	0	G_HPBX0000@39,1	V02S0101@39,1	
D1	7	8	0	A	PICL0_DQS2		LDQS8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,8	F5@49,28	
D10	1	0	47	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@47,1	F6@20,20	V02S0401@47,1
D11	1	0	51	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@51,1	V02S0501@51,1	V06S0003@26,1
D12	1	0	58	A	PIOT0			INPUT_LVTTL33		NONE		ON	ON				0	0	0	1	0	0			
D13	1	0	62	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@62,1	F6@24,20	V06S0003@26,1
D14	2	2	72	D	PICR0		RDQ8	-									1	0	1	0	0	0	G_HPBX0000@71,4	F0@20,18	V02S0301@65,1
D16	2	8	72	A	PICR0_DQS2		RDQS8	OUTPUT_SSTL18_II							IREG_OREG	CEMUX=CE;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@71,8	H02W0201@71,8	
D3	7	2	0	D	PICL0		LDQ8	-									1	0	0	0	0	0	G_HPBX0000@1,4	F3@50,31	
D4	0	0	9	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@10,1	V06S0203@10,0	
D5	0	0	13	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@14,1	V02S0701@14,1	Q0_SLICE@23,16
D6	0	0	20	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@21,1	V02S0501@21,1	Q0_SLICE@23,16
D7	0	0	24	B	PIOT0	GR_PCLK0_0		-									1	0	1	0	0	0	G_HPBX0000@25,1	F2@21,16	V06S0003@26,1
D8	1	0	33	B	PIOT0	PCLKC1_1		-									1	0	0	0	0	0	G_HPBX0000@34,1	F6@31,15	
