PIN	BANK	ROW	COL	PIO	TILE	FUNC	DQS	BASETYPE	DRIVE	PULL	SLEW	HYST	CLAMP	ODRAIN	IOLMODE	IOLCFG	OUT	ODDR1	TRI	IN	RX0	RX1	CLKROOT	OROOT	TROOT
A10	1	0	42	B	PIOT0			-									0	0	0	1	0	0			
A11	1	0	53	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@53,1	V02S0701@53,1	V02S0301@53,1
A12	1	0	53	B	PIOT0			-									0	0	0	1	0	0			
A13	1	0	65	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@65,1	F4@36,14	V02S0101@65,1
A14	1	0	65	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@66,1	F6@43,15	Q0_SLICE@38,6
A15	1	0	67	B	PIOT0			-									0	0	0	0	0	0			
A2	0	0	4	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@4,1	F6@25,15	JQ4@1,2
A3	0	0	6	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@6,1	F7@26,9	JQ4@1,2
A4	0	0	6	B	PIOT0			-									1	0	1	0	0	0	G_HPBX0000@7,1	V02S0501@7,1	JQ4@1,2
A5	0	0	18	A	PIOT0			INPUT_LVTTL33	4		FAST	ON	ON				1	0	1	0	0	0	G_HPBX0000@18,1	V02S0701@18,1	Q0_SLICE@38,6
A6	0	0	18	B	PIOT0			-									1	0	0	0	0	0	G_HPBX0000@19,1	F1@31,4	
A7	0	0	29	A	PIOT0	PCLKT0_0		-					OFF				0	0	0	0	0	0			
A8	0	0	29	B	PIOT0	PCLKC0_0		-									1	0	0	0	0	0	G_HPBX0000@30,1	V02S0701@30,1	
A9	1	0	42	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@42,1	F7@37,4	
B1	7	2	0	A	PICL0		LDQ8	OUTPUT_SSTL18_II							IREG_OREG	CEOMUX=1;CLKIMUX=CLK;CLKOMUX=CLK;GSR=DISABLED;LSRIMUX=LSRMUX	1	0	0	0	0	0	G_HPBX0000@1,2	H02E0501@1,2	
B10	1	0	44	A	PIOT0			OUTPUT_LVTTL33	8	NONE	FAST		ON	OFF			1	0	0	0	0	0	G_HPBX0000@44,1	F2@36,5	
