dump	block	start	end	pct_FF	E320_PCB6.0_Normal_FPGA13.39_20221101.hex	E320_PCB6.0_PWM_FPGA10.81_20230907.hex	E320_PCB6.0_PWM_FPGA9.53_20221031.hex	E320_PCB6.1_LS0allDA_FPGA6.69_20220907.hex	E320_PWM_FPGA16.53_20231227_SM16386S_SM16269SH.hex
golden-bank.bin	0x00	0x000000	0x00FFFF	1.3	0.285614	0.245819	0.267319	0.278809	0.255783
golden-bank.bin	0x01	0x010000	0x01FFFF	1.3	0.186813	0.164520	0.183960	0.176331	0.169739
golden-bank.bin	0x02	0x020000	0x02FFFF	1.3	0.186462	0.168762	0.182266	0.175003	0.177994
golden-bank.bin	0x03	0x030000	0x03FFFF	1.3	0.179077	0.170410	0.173416	0.178528	0.178146
golden-bank.bin	0x04	0x040000	0x04FFFF	1.3	0.187897	0.168182	0.180786	0.188904	0.173187
golden-bank.bin	0x05	0x050000	0x05FFFF	1.3	0.182022	0.161087	0.174469	0.188980	0.163055
golden-bank.bin	0x06	0x060000	0x06FFFF	1.3	0.182037	0.174896	0.167038	0.189163	0.172089
golden-bank.bin	0x07	0x070000	0x07FFFF	1.3	0.189072	0.173492	0.170227	0.184296	0.177658
golden-bank.bin	0x08	0x080000	0x08FFFF	8.6	0.406189	0.364670	0.394287	0.395523	0.388153
golden-bank.bin	0x09	0x090000	0x09FFFF	100.0	1.000000	1.000000	1.000000	1.000000	1.000000
golden-bank.bin	0x0A	0x0A0000	0x0AFFFF	100.0	0.999878	0.999939	0.999939	0.999939	0.999939
primary-after-restore.bin	0x00	0x000000	0x00FFFF	1.3	0.244766	1.000000	0.240860	0.240280	0.227844
primary-after-restore.bin	0x01	0x010000	0x01FFFF	1.3	0.160248	1.000000	0.162994	0.155090	0.151581
primary-after-restore.bin	0x02	0x020000	0x02FFFF	1.3	0.169968	1.000000	0.171188	0.161987	0.166779
primary-after-restore.bin	0x03	0x030000	0x03FFFF	1.3	0.171021	1.000000	0.165283	0.168259	0.165619
primary-after-restore.bin	0x04	0x040000	0x04FFFF	1.3	0.168335	1.000000	0.166351	0.168030	0.158157
primary-after-restore.bin	0x05	0x050000	0x05FFFF	1.3	0.163864	1.000000	0.157181	0.172699	0.144241
primary-after-restore.bin	0x06	0x060000	0x06FFFF	1.3	0.172211	1.000000	0.159836	0.177979	0.159515
primary-after-restore.bin	0x07	0x070000	0x07FFFF	7.5	0.168732	0.938324	0.156006	0.162827	0.161331
primary-after-restore.bin	0x08	0x080000	0x08FFFF	8.6	0.352219	1.000000	0.368011	0.354080	0.363693
primary-after-restore.bin	0x09	0x090000	0x09FFFF	100.0	1.000000	1.000000	1.000000	1.000000	1.000000
primary-after-restore.bin	0x0A	0x0A0000	0x0AFFFF	100.0	0.999878	1.000000	0.999939	0.999939	0.999939
primary-region.bin	0x00	0x000000	0x00FFFF	1.3	0.244766	1.000000	0.240860	0.240280	0.227844
primary-region.bin	0x01	0x010000	0x01FFFF	1.3	0.160248	1.000000	0.162994	0.155090	0.151581
primary-region.bin	0x02	0x020000	0x02FFFF	1.3	0.169968	1.000000	0.171188	0.161987	0.166779
primary-region.bin	0x03	0x030000	0x03FFFF	93.8	0.028763	0.026001	0.027344	0.026932	0.027466
primary-region.bin	0x04	0x040000	0x04FFFF	0.0	0.007385	0.007080	0.007004	0.007217	0.007492
primary-region.bin	0x05	0x050000	0x05FFFF	100.0	0.013077	0.013077	0.013062	0.013031	0.013168
primary-region.bin	0x06	0x060000	0x06FFFF	100.0	0.013092	0.013107	0.013107	0.013077	0.013046
primary-region.bin	0x07	0x070000	0x07FFFF	42.0	0.069275	0.064407	0.065231	0.069626	0.065155
primary-region.bin	0x08	0x080000	0x08FFFF	8.6	0.352219	1.000000	0.368011	0.354080	0.363693
primary-region.bin	0x09	0x090000	0x09FFFF	100.0	1.000000	1.000000	1.000000	1.000000	1.000000
primary-region.bin	0x0A	0x0A0000	0x0AFFFF	100.0	0.999878	1.000000	0.999939	0.999939	0.999939
primary-region.bin	0x0B	0x0B0000	0x0BFFFF	99.6	0.015625	0.015625	0.015625	0.015625	0.015625
