PIN	ROW	COL	PIO	EDGE	IN_RGB96	DRIVER	RESOLVE	CELL	INIT	EXPR	A_src	B_src	C_src	D_src
A2	0	4	A	TOP		F4@21,9	CELL	LUT	0010001100100000	!A&B&!C | !A&B&!D | B&C&!D	Q6@26,23	Q4@23,18	Q5@23,18	Q2@20,14
B3	0	4	B	TOP		V02S0701@5,1	DEAD							
A3	0	6	A	TOP		F4@20,7	CELL	LUT	0011000000100010	!A&B&!C | !A&B&D | B&!C&!D	Q4@19,16	Q4@23,18	Q0@25,11	Q5@23,18
A4	0	6	B	TOP		F5@17,2	CELL	LUT	0010001100100000	!A&B&!C | !A&B&!D | B&C&!D	V02S0001@17,0	V02S0501@17,1	Q5@23,18	Q2@15,15
E4	0	9	A	TOP		V06S0003@33,1	DEAD							
D4	0	9	B	TOP		F3@63,4	CELL	LUT	1101011100010100	A&!D | A&!B&C | A&B&!C | !B&!C&!D | B&C&!D	F2@63,4	Q7@39,18	Q6@39,18	F2@65,4
C4	0	11	A	TOP		F3@60,2	CELL	LUT	1001000011110110	!C&D | !A&!B&!C | A&B&!C | !A&B&D | A&!B&D	?-1@-1,-1	V02S0101@59,1	F6@60,2	F2@60,2
B4	0	11	B	TOP		F4@17,2	CELL	LUT	0011000000100010	!A&B&!C | !A&B&D | B&!C&!D	V02S0401@17,0	V02S0501@17,1	Q2@26,6	Q5@23,18
E5	0	13	A	TOP		F5@23,7	CELL	LUT	0011000000100010	!A&B&!C | !A&B&D | B&!C&!D	Q6@23,10	Q4@23,18	Q4@24,7	Q5@23,18
D5	0	13	B	TOP		F7@21,8	CELL	LUT	0011001000000010	!A&B&C | !A&B&!D | B&!C&!D	Q4@21,7	Q4@23,18	Q5@23,18	Q2@26,8
C5	0	15	A	TOP		F5@24,2	CELL	LUT	0011000100100000	!A&B&!C | A&B&!D	Q5@23,18	Q4@23,18	Q7@25,9	?-1@-1,-1
B5	0	15	B	TOP		V02S0701@16,1	DEAD							
A5	0	18	A	TOP		F6@19,2	CELL	LUT	0000110000001010	!A&!B&C | !A&C&D | !B&C&!D	V02S0001@19,0	Q1@24,10	?-1@-1,-1	Q5@23,18
A6	0	18	B	TOP		V02S0501@19,1	DEAD							
E6	0	20	A	TOP		F5@23,8	CELL	LUT	0000101000001100	!A&!B&C | !A&C&!D | !B&C&D	Q3@25,19	Q1@21,10	Q4@23,18	Q5@23,18
D6	0	20	B	TOP		F3@18,3	CELL	LUT	0101010000000100	A&!B&C | A&!B&!D | A&!C&!D	Q4@23,18	Q0@21,10	Q5@23,18	Q2@25,19
C6	0	22	A	TOP		V02S0001@22,1	DEAD							
B6	0	22	B	TOP		F6@21,14	CELL	LUT	1111111111111000	!C | !D | !A&!B	F7@21,14	Q6@28,14	F4@17,16	F4@21,12
E7	0	24	A	TOP		F7@23,8	CELL	LUT	0011000000100010	!A&B&!C | !A&B&D | B&!C&!D	Q7@23,7	Q4@23,18	Q1@28,10	Q5@23,18
D7	0	24	B	TOP		V02S0701@25,1	DEAD							
C7	0	27	A	TOP		?-1@-1,-1	LOOP							
B7	0	27	B	TOP		F6@13,8	CELL	LUT	0001000001010101	A&D | A&B&!C	F7@13,8	Q4@23,18	Q2@28,9	Q5@23,18
A8	0	29	B	TOP		F3@25,2	CELL	LUT	0101010001010100	A&!B | A&!C	Q4@23,18	Q5@23,18	V06S0303@25,0	
E8	0	33	A	TOP		?-1@-1,-1	LOOP							
D8	0	33	B	TOP		?-1@-1,-1	LOOP							
C8	0	35	A	TOP		V02S0501@35,1	DEAD							
B8	0	35	B	TOP		F4@16,4	CELL	LUT	1111111011101110	!A | !B | !C&!D	F5@16,4	F6@15,5	F7@21,14	Q0@28,17
B9	0	38	A	TOP		V06S0203@31,1	DEAD							
C9	0	38	B	TOP		V02S0501@39,1	DEAD							
D9	0	40	A	TOP		F4@16,2	CELL	LUT	1111111011111010	!A | !C | !B&!D	F5@16,2	Q0@31,10	F2@18,3	F7@21,14
E9	0	40	B	TOP		F2@14,5	CELL	LUT	0000001100110010	!A&B&C | !A&B&D | B&!C&D | B&C&!D	Q6@18,5	F3@14,5	Q4@23,18	Q5@23,18
A9	0	42	A	TOP		V06S0003@30,1	DEAD							
B10	0	44	A	TOP		?-1@-1,-1	LOOP							
C10	0	44	B	TOP		V02S0501@45,1	DEAD							
D10	0	47	A	TOP		F1@26,6	CELL	LUT	0000110100001000	!A&!B&C | A&C&!D	Q5@23,18	Q6@27,7	Q4@23,18	Q4@12,8
E10	0	47	B	TOP		F5@20,7	CELL	LUT	0011000000100010	!A&B&!C | !A&B&D | B&!C&!D	Q6@20,6	Q4@23,18	Q1@25,7	Q5@23,18
B11	0	49	A	TOP		F6@21,8	CELL	LUT	0011000000100010	!A&B&!C | !A&B&D | B&!C&!D	Q6@10,14	Q4@23,18	Q5@24,7	Q5@23,18
C11	0	49	B	TOP		?-1@-1,-1	LOOP							
D11	0	51	A	TOP		V02S0501@51,1	DEAD							
E11	0	51	B	TOP		V02S0501@52,1	DEAD							
A11	0	53	A	TOP		F5@13,8	CELL	LUT	0000110000001010	!A&!B&C | !A&C&D | !B&C&!D	Q7@10,14	Q0@25,8	Q4@23,18	Q5@23,18
B12	0	56	A	TOP		V02S0701@56,1	DEAD							
C12	0	56	B	TOP		F3@20,8	CELL	LUT	0101010000000100	A&!B&C | A&!B&!D | A&!C&!D	Q4@23,18	Q5@15,9	Q5@23,18	Q0@25,7
B13	0	60	A	TOP		V02S0501@60,1	DEAD							
C13	0	60	B	TOP		F6@23,8	CELL	LUT	0000000011100100	A&!B&D | !A&!C&D	Q5@23,18	Q7@20,6	Q6@26,8	Q4@23,18
D13	0	62	A	TOP		F6@27,14	CELL	LUT	0100010101000000	A&!B&!C | A&!B&!D | A&C&!D	Q4@23,18	Q7@26,8	Q5@23,18	Q4@20,15
A13	0	65	A	TOP		F4@23,7	CELL	LUT	0010001000110000	!A&B&!C | !A&B&!D | B&!C&D	Q2@24,7	Q4@23,18	Q2@10,15	Q5@23,18
A14	0	65	B	TOP		V02S0501@66,1	DEAD							
B14	0	67	A	TOP		V02S0501@67,1	DEAD							
B1	2	0	A	LEFT	Y	F5@70,14	CELL	LUT	1000101100101110	!A&C | !A&!B&!D | !A&B&D | !B&C&D | B&C&!D	F5@69,14	H02W0001@71,14	F4@70,14	H02W0401@71,14
B2	2	0	B	LEFT		?-1@-1,-1	LOOP							
C3	2	0	C	LEFT		F2@20,8	CELL	LUT	0101010000000100	A&!B&C | A&!B&!D | A&!C&!D	Q4@23,18	Q5@19,16	Q5@23,18	Q1@25,11
D3	2	0	D	LEFT	Y	F1@59,2	CELL	LUT	1000001010111110	!A&D | !A&!B&!C | !A&B&C | !B&C&D | B&!C&D	F7@60,2	V02S0101@59,1	V02S0001@58,1	F0@59,2
B16	2	72	A	RIGHT	Y	F5@70,5	CELL	LUT	1000110101001110	!B&C | !A&!B&!D | A&!B&D | !A&C&D | A&C&!D	Q5@39,18	F7@70,4	F4@70,5	V06S0303@70,3
B15	2	72	B	RIGHT	Y	F1@65,3	CELL	LUT	1001000011110110	!C&D | !A&!B&!C | A&B&!C | !A&B&D | A&!B&D	?-1@-1,-1	V06S0103@63,3	F6@63,3	F0@65,3
C14	2	72	C	RIGHT	Y	F4@70,2	CELL	LUT	1010000010001000	!A&!B&!C | !A&!B&D | !A&!C&!D	F1@63,4	Q2@70,2	Q0@70,2	H06W0103@71,8
D14	2	72	D	RIGHT		H02W0501@71,4	DEAD							
C1	5	0	A	LEFT	Y	?-1@-1,-1	LOOP							
C2	5	0	B	LEFT	Y	F1@61,3	CELL	LUT	1000001010111110	!A&D | !A&!B&!C | !A&B&C | !B&C&D | B&!C&D	F7@59,2	V06S0003@61,1	V01S0000@61,0	F0@61,3
E3	5	0	C	LEFT	Y	H06E0203@0,7	DEAD							
F3	5	0	D	LEFT	Y	H02E0501@1,7	DEAD							
C16	5	72	A	RIGHT	Y	H06W0003@72,5	DEAD							
C15	5	72	B	RIGHT	Y	H06W0203@71,12	DEAD							
E14	5	72	C	RIGHT	Y	F5@69,4	CELL	LUT	1000101100101110	!A&C | !A&!B&!D | !A&B&D | !B&C&D | B&C&!D	F3@69,3	H06W0303@72,6	F4@69,4	H06W0103@71,1
F14	5	72	D	RIGHT	Y	?-1@-1,-1	LOOP							
D1	8	0	A	LEFT	Y	H06E0203@0,8	DEAD							
E2	8	0	B	LEFT	Y	F5@67,7	CELL	LUT	1000110101001110	!B&C | !A&!B&!D | A&!B&D | !A&C&D | A&C&!D	H06W0303@70,1	F2@67,6	F4@67,7	Q5@39,18
F4	8	0	C	LEFT	Y	F0@58,3	CELL	LUT	1100000011000000	!B&!C		F1@63,4	Q1@65,2	
F5	8	0	D	LEFT	Y	F1@66,3	CELL	LUT	1011011100010010	B&!D | !A&B&C | A&B&!C | !A&!C&!D | A&C&!D	V06S0003@62,1	V06S0003@66,1	V02S0601@66,1	F0@66,2
D16	8	72	A	RIGHT	Y	F3@70,8	CELL	LUT	1000001010111110	!A&D | !A&!B&!C | !A&B&C | !B&C&D | B&!C&D	F6@70,4	V06S0103@70,3	Q4@39,18	F2@70,8
E15	8	72	B	RIGHT	Y	F3@69,7	CELL	LUT	1101011100010100	A&!D | A&!B&C | A&B&!C | !B&!C&!D | B&C&!D	F2@69,7	H02W0101@72,6	V06S0303@69,3	F0@69,7
F13	8	72	C	RIGHT	Y	F6@70,8	CELL	LUT	1011100000000000	!A&!B&!D | !A&!C&!D | B&!C&!D	H02W0301@71,10	H02W0301@71,8	Q6@68,6	F1@63,4
F12	8	72	D	RIGHT	Y	F0@69,3	CELL	LUT	1010110000000000	!A&!B&!D | !A&!C&!D | !B&C&!D	Q1@67,9	?-1@-1,-1	F7@61,3	F1@63,4
G5	11	0	A	LEFT	Y	H06E0203@0,11	DEAD							
G4	11	0	B	LEFT	Y	H02E0501@1,11	DEAD							
F2	11	0	C	LEFT	Y	H02E0301@1,13	DEAD							
E1	11	0	D	LEFT	Y	F6@59,4	CELL	LUT	1100000010001000	!A&!B&!C | !A&!B&D | !B&!C&!D	V06S0303@59,3	JF0_CIBTEST@70,25	Q3@62,2	V06S0003@60,1
G12	11	72	A	RIGHT	Y	F5@65,5	CELL	LUT	1000110101001110	!B&C | !A&!B&!D | A&!B&D | !A&C&D | A&C&!D	Q5@39,18	F3@64,5	F4@65,5	Q4@39,18
G13	11	72	B	RIGHT	Y	H02W0701@71,11	DEAD							
F15	11	72	C	RIGHT	Y	H06W0103@71,4	DEAD							
E16	11	72	D	RIGHT	Y	H02W0501@71,13	DEAD							
F1	14	0	A	LEFT	Y	F7@67,6	CELL	LUT	1000110101001110	!B&C | !A&!B&!D | A&!B&D | !A&C&D | A&C&!D	Q4@39,18	F3@67,6	F6@67,6	Q5@39,18
G2	14	0	B	LEFT	Y	F0@61,4	CELL	LUT	1101100000000000	!A&!B&!D | A&!C&!D	V02S0301@63,1	Q4@66,2	Q7@65,5	V02S0501@61,1
G3	14	0	C	LEFT	Y	H02E0701@1,16	DEAD							
H3	14	0	D	LEFT	Y	H02E0501@1,16	DEAD							
F16	14	72	A	RIGHT	Y	F1@70,7	CELL	LUT	1101011100010100	A&!D | A&!B&C | A&B&!C | !B&!C&!D | B&C&!D	F0@70,7	H02W0101@71,7	H02W0601@71,7	F0@70,6
G15	14	72	B	RIGHT	Y	H02W0201@71,14	DEAD							
G14	14	72	C	RIGHT	Y	H06W0003@72,16	DEAD							
H14	14	72	D	RIGHT	Y	H02W0601@71,16	DEAD							
H5	17	0	A	LEFT	Y	H02E0701@1,17	DEAD							
H4	17	0	B	LEFT	Y	V06S0003@57,0	DEAD							
J4	17	0	C	LEFT	Y	?-1@-1,-1	LOOP							
J5	17	0	D	LEFT	Y	H06E0203@0,13	DEAD							
H12	17	72	A	RIGHT	Y	F0@70,11	CELL	LUT	1101111110001111	C | !A&!B | A&!D	?-1@-1,-1	Q4@68,9	F1@63,4	Q5@68,7
H13	17	72	B	RIGHT	Y	F2@70,11	CELL	LUT	1010111111001111	C | !A&!B | !A&!D | !B&D	Q4@67,9	H02W0301@72,11	F1@63,4	H02W0001@71,11
J13	17	72	C	RIGHT	Y	F2@70,12	CELL	LUT	1101111110001111	C | !A&!B | A&!D	?-1@-1,-1	Q3@67,7	F1@63,4	Q4@70,10
J12	17	72	D	RIGHT	Y	H06W0203@72,19	DEAD							
G1	20	0	A	LEFT	Y	H02E0701@1,20	DEAD							
H2	20	0	B	LEFT	Y	V06S0303@40,0	DEAD							
G16	20	72	A	RIGHT	Y	?-1@-1,-1	LOOP							
H15	20	72	B	RIGHT	Y	H02W0501@71,20	DEAD							
J14	20	72	C	RIGHT		Q4@54,20	CELL	FF	RESET					
K14	20	72	D	RIGHT		Q4@42,23	CELL	FF	RESET					
J15	23	72	B	RIGHT		Q2@56,23	CELL	FF	RESET					
K16	23	72	C	RIGHT		Q6@58,22	CELL	FF	RESET					
K15	23	72	D	RIGHT		?-1@-1,-1	LOOP							
L2	26	0	B	LEFT		Q2@23,23	CELL	FF	RESET					
M1	26	0	C	LEFT		Q4@40,26	CELL	FF	RESET					
M2	26	0	D	LEFT		Q6@32,22	CELL	FF	RESET					
K4	29	0	A	LEFT	Y	F2@52,2	CELL	LUT	0101000111111011	A&B | A&!C | !A&D	F3@52,2	F1@63,4	V06S0003@69,2	V06S0103@50,2
K5	29	0	B	LEFT	Y	F6@62,5	CELL	LUT	1111111100110011	B | !D		F1@63,4		Q0@67,4
L4	29	0	C	LEFT	Y	H02E0501@1,31	DEAD							
L5	29	0	D	LEFT	Y	H02E0201@1,31	DEAD							
K13	29	72	A	RIGHT	Y	H02W0701@71,29	DEAD							
L13	29	72	C	RIGHT	Y	H02W0301@71,31	DEAD							
L12	29	72	D	RIGHT	Y	H02W0201@71,31	DEAD							
N1	32	0	A	LEFT	Y	F4@51,8	CELL	LUT	1111110000110000	B&!C | !B&!D		Q0@65,7	F4@66,8	F5@51,8
P2	32	0	B	LEFT	Y	F3@66,9	CELL	LUT	1011000101110010	B&!C | !A&B&D | A&B&!D | !A&!C&!D | A&!C&D	V06S0203@67,3	F2@66,9	F6@66,7	Q5@39,18
L3	32	0	C	LEFT	Y	H02E0301@1,34	DEAD							
M3	32	0	D	LEFT	Y	F0@46,16	CELL	LUT	1100101011001010	!A&!B | !A&C | !B&!C	F0@67,14	F1@46,16	Q0@39,18	
P15	32	72	B	RIGHT	Y	F5@70,9	CELL	LUT	1000110101001110	!B&C | !A&!B&!D | A&!B&D | !A&C&D | A&C&!D	H02W0101@71,7	F5@70,11	F4@70,9	H02W0001@71,9
L14	32	72	C	RIGHT	Y	H02W0501@71,34	DEAD							
M14	32	72	D	RIGHT	Y	F5@69,5	CELL	LUT	1001111100000110	C&!D | !A&B&C | A&!B&C | !A&!B&!D | A&B&!D	H06W0203@71,8	H06W0003@71,5	F4@69,5	F2@70,6
P1	35	0	A	LEFT		H06E0303@0,35	DEAD							
R1	35	0	B	LEFT		Q6@37,29	CELL	FF	RESET					
M4	35	0	C	LEFT	Y	H02E0301@1,37	DEAD							
N3	35	0	D	LEFT	Y	Q7@51,20	CELL	FF	RESET					
N14	35	72	D	RIGHT	Y	H06W0003@72,37	DEAD							
N4	38	0	A	LEFT	Y	Q1@51,20	CELL	FF	RESET					
P3	38	0	B	LEFT	Y	H02E0701@1,38	DEAD							
R2	38	0	C	LEFT	Y	F2@59,4	CELL	LUT	1000100011000000	!A&!B&!C | !A&!B&!D | !B&!C&D	V06S0303@59,3	JF0_CIBTEST@70,25	Q4@67,8	V06S0003@60,1
