PIN ROW COL PIO BANK FUNCTION | config
A10  R0   C42  B bank1                         | -
A11  R0   C53  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
A12  R0   C53  B bank1                         | -
A13  R0   C65  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
A14  R0   C65  B bank1                         | -
A15  R0   C67  B bank1                         | -
A2   R0   C4   A bank0                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
A3   R0   C6   A bank0                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
A4   R0   C6   B bank0                         | -
A5   R0   C18  A bank0                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
A6   R0   C18  B bank0                         | -
A7   R0   C29  A bank0  PCLKT0_0               | enum: PIOA.CLAMP OFF
A8   R0   C29  B bank0  PCLKC0_0               | -
A9   R0   C42  A bank1                         | enum: PIOA.BASE_TYPE OUTPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 8; enum: PIOA.OPENDRAIN OFF; enum: PIOA.PULLMODE NONE; enum: PIOA.SLEWRATE FAST
B1   R2   C0   A bank7                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
B10  R0   C44  A bank1                         | enum: PIOA.BASE_TYPE OUTPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 8; enum: PIOA.OPENDRAIN OFF; enum: PIOA.PULLMODE NONE; enum: PIOA.SLEWRATE FAST
B11  R0   C49  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
B12  R0   C56  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
B13  R0   C60  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
B14  R0   C67  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
B15  R2   C72  B bank2  S0_IN                  | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
B16  R2   C72  A bank2                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
B2   R2   C0   B bank7                         | enum: IOLOGICB.CEIMUX 1; enum: IOLOGICB.CEOMUX 1; enum: IOLOGICB.CLKIMUX CLK; enum: IOLOGICB.CLKOMUX CLK; enum: IOLOGICB.GSR DISABLED; enum: IOLOGICB.MODE IDDRXN; enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOB.DATAMUX_OREG IOLDO
B3   R0   C4   B bank0                         | -
B4   R0   C11  B bank0                         | -
B5   R0   C15  B bank0                         | -
B6   R0   C22  B bank0                         | -
B7   R0   C27  B bank0  PCLKC0_1               | -
B8   R0   C35  B bank1  PCLKC1_0               | -
B9   R0   C38  A bank1  GR_PCLK1_0             | enum: PIOA.BASE_TYPE OUTPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 8; enum: PIOA.OPENDRAIN OFF; enum: PIOA.PULLMODE NONE; enum: PIOA.SLEWRATE FAST
C1   R5   C0   A bank7                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
C10  R0   C44  B bank1                         | -
C11  R0   C49  B bank1                         | -
C12  R0   C56  B bank1                         | -
C13  R0   C60  B bank1                         | -
C14  R2   C72  C bank2                         | -
C15  R5   C72  B bank2                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
C16  R5   C72  A bank2                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
C2   R5   C0   B bank7                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
C3   R2   C0   C bank7                         | -
C4   R0   C11  A bank0                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL15_II; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.PULLMODE NONE
C5   R0   C15  A bank0                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
C6   R0   C22  A bank0                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
C7   R0   C27  A bank0  PCLKT0_1               | enum: PIOA.BASE_TYPE OUTPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 8; enum: PIOA.OPENDRAIN OFF; enum: PIOA.PULLMODE NONE; enum: PIOA.SLEWRATE FAST
C8   R0   C35  A bank1  PCLKT1_0               | enum: PIOA.BASE_TYPE OUTPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 8; enum: PIOA.OPENDRAIN OFF; enum: PIOA.PULLMODE NONE; enum: PIOA.SLEWRATE FAST
C9   R0   C38  B bank1  GR_PCLK1_1             | -
D1   R8   C0   A bank7                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
D10  R0   C47  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
D11  R0   C51  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
D12  R0   C58  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.HYSTERESIS ON; enum: PIOA.PULLMODE NONE
D13  R0   C62  A bank1                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
D14  R2   C72  D bank2                         | -
D16  R8   C72  A bank2                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
D3   R2   C0   D bank7                         | -
D4   R0   C9   B bank0                         | -
D5   R0   C13  B bank0                         | -
D6   R0   C20  B bank0                         | -
D7   R0   C24  B bank0  GR_PCLK0_0             | -
D8   R0   C33  B bank1  PCLKC1_1               | -
D9   R0   C40  A bank1                         | enum: PIOA.BASE_TYPE OUTPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 8; enum: PIOA.OPENDRAIN OFF; enum: PIOA.PULLMODE NONE; enum: PIOA.SLEWRATE FAST
E1   R11  C0   D bank7                         | -
E10  R0   C47  B bank1                         | -
E11  R0   C51  B bank1                         | -
E12  R0   C58  B bank1                         | -
E13  R0   C62  B bank1                         | -
E14  R5   C72  C bank2                         | -
E15  R8   C72  B bank2                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
E16  R11  C72  D bank2                         | -
E2   R8   C0   B bank7                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
E3   R5   C0   C bank7                         | -
E4   R0   C9   A bank0                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL15_II; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.PULLMODE NONE
E5   R0   C13  A bank0                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
E6   R0   C20  A bank0                         | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
E7   R0   C24  A bank0  GR_PCLK0_1             | enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.HYSTERESIS ON; enum: PIOA.SLEWRATE FAST
E8   R0   C33  A bank1  PCLKT1_1               | enum: PIOA.BASE_TYPE OUTPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 8; enum: PIOA.OPENDRAIN OFF; enum: PIOA.PULLMODE NONE; enum: PIOA.SLEWRATE FAST
E9   R0   C40  B bank1                         | -
F1   R14  C0   A bank7                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
F12  R8   C72  D bank2                         | -
F13  R8   C72  C bank2                         | -
F14  R5   C72  D bank2                         | -
F15  R11  C72  C bank2                         | -
F16  R14  C72  A bank2                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
F2   R11  C0   C bank7                         | -
F3   R5   C0   D bank7                         | -
F4   R8   C0   C bank7                         | -
F5   R8   C0   D bank7                         | -
G1   R20  C0   A bank7  GR_PCLK7_1             | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
G12  R11  C72  A bank2                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
G13  R11  C72  B bank2                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
G14  R14  C72  C bank2  VREF1_2                | -
G15  R14  C72  B bank2                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
G16  R20  C72  A bank2  GR_PCLK2_1             | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
G2   R14  C0   B bank7                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
G3   R14  C0   C bank7  VREF1_7                | -
G4   R11  C0   B bank7                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
G5   R11  C0   A bank7                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
H12  R17  C72  A bank2                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
H13  R17  C72  B bank2                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
H14  R14  C72  D bank2                         | -
H15  R20  C72  B bank2                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
H2   R20  C0   B bank7                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
H3   R14  C0   D bank7                         | -
H4   R17  C0   B bank7                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
H5   R17  C0   A bank7                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
J1   R23  C0   A bank7  PCLKT7_1               | -
J12  R17  C72  D bank2                         | -
J13  R17  C72  C bank2                         | -
J14  R20  C72  C bank2  GR_PCLK2_0             | -
J15  R23  C72  B bank2  PCLKC2_1               | enum: IOLOGICB.CEIMUX 1; enum: IOLOGICB.CEOMUX 1; enum: IOLOGICB.CLKIMUX CLK; enum: IOLOGICB.CLKOMUX CLK; enum: IOLOGICB.GSR DISABLED; enum: IOLOGICB.LSRIMUX LSRMUX; enum: IOLOGICB.LSROMUX LSRMUX; enum: IOLOGICB.MODE IDDRX1_ODDRX1; enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOB.DATAMUX_ODDR IOLDO
J16  R23  C72  A bank2  PCLKT2_1               | enum: IOLOGICA.CEIMUX 1; enum: IOLOGICA.CEOMUX 1; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.GSR DISABLED; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.LSROMUX LSRMUX; enum: IOLOGICA.MODE IDDRX1_ODDRX1; enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOA.DATAMUX_ODDR IOLDO
J2   R23  C0   B bank7  PCLKC7_1               | word: IOLOGICB.DELAY.DEL_VALUE 0100111; enum: IOLOGICB.CEIMUX 1; enum: IOLOGICB.CEOMUX 1; enum: IOLOGICB.CLKIMUX CLK; enum: IOLOGICB.CLKOMUX CLK; enum: IOLOGICB.GSR DISABLED; enum: IOLOGICB.LSRIMUX LSRMUX; enum: IOLOGICB.LSROMUX LSRMUX; enum: IOLOGICB.MODE IDDRX1_ODDRX1
J3   R20  C0   C bank7  GR_PCLK7_0             | -
J4   R17  C0   C bank7                         | -
J5   R17  C0   D bank7                         | -
K1   R23  C0   C bank7  PCLKT7_0               | -
K12  R29  C72  B bank3                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
K13  R29  C72  A bank3  GR_PCLK3_0             | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
K14  R20  C72  D bank2                         | -
K15  R23  C72  D bank2  PCLKC2_0               | -
K16  R23  C72  C bank2  PCLKT2_0               | -
K2   R23  C0   D bank7  PCLKC7_0               | -
K3   R20  C0   D bank7                         | -
K4   R29  C0   A bank6  GR_PCLK6_0             | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
K5   R29  C0   B bank6                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
L1   R26  C0   A bank6  PCLKT6_1               | enum: IOLOGICA.CEIMUX 1; enum: IOLOGICA.CEOMUX 1; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.GSR DISABLED; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.LSROMUX LSRMUX; enum: IOLOGICA.MODE IDDRX1_ODDRX1; enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOA.DATAMUX_ODDR IOLDO
L12  R29  C72  D bank3                         | -
L13  R29  C72  C bank3  GR_PCLK3_1             | -
L14  R32  C72  C bank3                         | -
L15  R26  C72  B bank3  PCLKC3_1               | word: IOLOGICB.DELAY.DEL_VALUE 0100111; enum: IOLOGICB.CEIMUX 1; enum: IOLOGICB.CEOMUX 1; enum: IOLOGICB.CLKIMUX CLK; enum: IOLOGICB.CLKOMUX CLK; enum: IOLOGICB.GSR DISABLED; enum: IOLOGICB.LSRIMUX LSRMUX; enum: IOLOGICB.LSROMUX LSRMUX; enum: IOLOGICB.MODE IDDRX1_ODDRX1
L16  R26  C72  A bank3  PCLKT3_1               | word: IOLOGICA.DELAY.DEL_VALUE 0100111; enum: IOLOGICA.CEIMUX 1; enum: IOLOGICA.CEOMUX 1; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.GSR DISABLED; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.LSROMUX LSRMUX; enum: IOLOGICA.MODE IDDRX1_ODDRX1
L2   R26  C0   B bank6  PCLKC6_1               | enum: IOLOGICB.CEIMUX 1; enum: IOLOGICB.CEOMUX 1; enum: IOLOGICB.CLKIMUX CLK; enum: IOLOGICB.CLKOMUX CLK; enum: IOLOGICB.GSR DISABLED; enum: IOLOGICB.LSRIMUX LSRMUX; enum: IOLOGICB.LSROMUX LSRMUX; enum: IOLOGICB.MODE IDDRX1_ODDRX1; enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOB.DATAMUX_ODDR IOLDO
L3   R32  C0   C bank6                         | -
L4   R29  C0   C bank6  GR_PCLK6_1             | -
L5   R29  C0   D bank6                         | -
M1   R26  C0   C bank6  PCLKT6_0               | -
M11  R47  C72  A bank3                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
M12  R44  C72  C bank3                         | -
M13  R35  C72  C bank3                         | -
M14  R32  C72  D bank3                         | -
M15  R26  C72  D bank3  PCLKC3_0               | -
M16  R26  C72  C bank3  PCLKT3_0               | -
M2   R26  C0   D bank6  PCLKC6_0               | -
M3   R32  C0   D bank6                         | -
M4   R35  C0   C bank6                         | -
M5   R44  C0   C bank6                         | -
M6   R47  C0   A bank6                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
