#	SM16269 / SM16169SH (chip family id 0x014C; SM16269 sub-variant id 0x014D)
#	register file as the card ships it in record 0x84 / real-time pack sub-index 1.
#
#	STRUCTURE (HIGH, read off the data): 33 registers, each carrying THREE values,
#	one per colour channel (R, G, B). Record 0x84 is the flat quad stream
#	(reg, R, G, B) x 33 in the library's order, zero-padded to 256 bytes, with
#	register 0x02 overwritten at load time with (scan - 1) & 0x3F = 15 for 1/16 scan.
#	Sources: config/chips/sm16269.toml, config/chips/sm16169sh.toml (vendor
#	ResetChipCustom tables at libCLTDevice __TEXT,__const 0x401130 / 0x4010B0),
#	field comments from LEDVISION 9.6 ChipSetting.dll dialogs IDD20174 / IDD20173.
#	crates/e120-rcvbp/src/chips.rs implements record_84() and gray_bits().
#
#	"269" = SM16269 (sub-id 0x14D) vendor Default Parameter table.
#	"169" = SM16169SH (no sub-id) table, as the seller's config carried it.
#	Behaviour on the bench: id 0x014C -> per-pixel noise at 2.8-4 A; id 0x0214 -> dark at 0.5 A.
#
reg	269_R	269_G	269_B	169_R	169_G	169_B	field meaning	confidence
0x02	0x3f	0x3f	0x3f	0x0f	0x0f	0x0f	MAX LINE / scan count; PATCHED to scan-1 on load (0x0F for 1/16). The driver chip therefore knows the scan depth itself	HIGH
0x03	0x3f	0x3f	0x3f	0x3f	0x3f	0x3f	[7:6] low-grey high-refresh level; value < 0x40 selects the x64 grey multiplier (else x32)	HIGH
0x04	0x00	0x00	0x00	0x00	0x00	0x00	[7] energy saving	MEDIUM
0x05	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x06	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x07	0x44	0x44	0x44	0x04	0x04	0x04	[7:5] frequency division factor - 1 (269: 2 -> divide by 3; 169-as-shipped: 0 -> divide by 1); [4:3] line grey (0 = 64... see gray_bits: g = 128 << bits); [2] blanking coarse; [1:0] blanking fine	HIGH
0x08	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x09	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x0a	0x02	0x02	0x02	0x00	0x00	0x00	[7] standby mode, INVERTED (0 = on)	MEDIUM
0x0b	0x0c	0x0c	0x0c	0x2c	0x2c	0x2c	[3:2] low-grey uniformity; [1:0] cross-plate optimisation high bits	MEDIUM
0x0c	0x08	0x18	0x30	0x00	0x01	0x03	cross-plate optimisation, low byte (per colour)	MEDIUM
0x0d	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x0e	0x05	0x05	0x05	0x05	0x05	0x05	unresolved	-
0x0f	0x00	0x00	0x00	0x00	0x00	0x00	[7:6] low-grey improvement	MEDIUM
0x10	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x11	0x00	0x00	0x00	0x04	0x1e	0x50	unresolved; per-colour in the 169 table	-
0x12	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x13	0x00	0x00	0x00	0x00	0x00	0x00	[4] photo optimisation; [3] low-grey high-refresh ENABLE	MEDIUM
0x14	0x14	0x22	0x32	0x14	0x22	0x32	[7:4] low-grey compensation 1; [3] open-circuit detect; [2:0] cross level	MEDIUM
0x15	0x00	0x00	0x00	0x00	0x00	0x00	[6:4] low-grey compensation 2	MEDIUM
0x16	0x30	0x30	0x30	0x30	0x30	0x30	[5:0] CURRENT GAIN 0-63 (the dialog's per-colour sliders). Note: 0x30 = 48, whereas record 0x01 +0x032..0x035 asks for 43 - the two current paths are independent	HIGH
0x17	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x18	0x01	0x01	0x01	0x01	0x01	0x01	[1:0] blanking ghost level	MEDIUM
0x19	0x04	0x03	0x03	0x02	0x02	0x02	[2:0] blanking level	MEDIUM
0x1a	0x03	0x01	0x01	0x00	0x00	0x00	[2:0] first-line dark compensation	MEDIUM
0x1b	0x14	0x14	0x14	0x00	0x00	0x00	unresolved	-
0x1c	0x12	0x8f	0x8f	0x00	0x00	0x00	unresolved	-
0x1d	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x1e	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0x1f	0x0c	0x0c	0x0c	0x00	0x00	0x00	unresolved	-
0x20	0x00	0x00	0x00	0x00	0x00	0x00	[7:6] small period num (S-PWM sub-period count)	MEDIUM
0x22	0x00	0x00	0x00	0x00	0x00	0x00	unresolved	-
0xf0	0x03	0x03	0x03	0x00	0x00	0x00	[7:4] black-screen standby (0xA = on). A real register, not a terminator	MEDIUM
#
#	DERIVED GREY DEPTH (vendor GetSupporttedGray, chip 0x14C branch; chips.rs):
#	g = 128 << ((reg07 >> 3) & 3)        line grey
#	m = (reg03 < 0x40) ? 64 : 32          grey multiplier
