offset_hex,offset_dec,n_unique,top_values,class,best_hypothesis,evidence,counterexamples,agr_S,agr_W,agr_H,agr_chip,agr_geo,agr_chip+S,agr_chip+geo
0x000,0,26,64:292 104:137 172:133,annotated,module width W (or a divisor of the cabinet width),"single-WxH-token files: token width == byte in 175/335, == byte*2^k in 240/335",95,0.764,1.000,0.779,0.272,1.000,0.820,1.000
0x001,1,29,32:210 64:133 43:133,annotated,module height / 2,single-WxH-token files: token height == 2*byte in 248/335,87,0.925,0.731,1.000,0.253,1.000,0.939,1.000
0x002,2,2,0:785 1:434,unknown,,best key chip: agr=0.898 shuf=0.648,0,0.658,0.646,0.649,0.898,0.674,0.921,0.934
0x003,3,11,0:960 4:133 8:66,"determined-by:geo(W,H,S)","consistent within geo(W,H,S) groups",agr=0.993 shuf=0.790 G=70,9,0.960,0.928,0.931,0.788,0.993,0.973,0.994
0x004,4,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x005,5,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x006,6,2,0:1210 1:9,near-constant,~const 0x00,1210/1219,9,0.993,0.994,0.995,0.993,0.998,0.995,1.000
0x007,7,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x008,8,2,2:1216 0:3,near-constant,~const 0x02,1216/1219,3,0.998,0.998,0.998,0.998,1.000,1.000,1.000
0x009,9,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x00a,10,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x00b,11,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x00c,12,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x00d,13,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x00e,14,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x00f,15,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
